question_id,question,expected_document,category,is_out_of_scope,search_success,retrieved_top1,retrieved_sources,hit_at_1,hit_at_5,chat_success,answer_preview,refused,source_match,error_category
1,What is the meal reimbursement limit for lunch?,Finance_Expenses_Policy,Exact,False,True,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf|Finance_Travel_Policy.pdf|Finance_Approval_Matrix.pdf|HR_Leave_and_Absence_Policy.pdf|Support_Triage_Playbook.pdf,True,True,True,"Based on Finance_Expenses_Policy.pdf, Expenses & Reimbursement Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines what business expenses are reimbursable and how to sub",False,True,Correct
2,What is the meal reimbursement limit for dinner?,Finance_Expenses_Policy,Exact,False,True,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf|Finance_Travel_Policy.pdf|Finance_Approval_Matrix.pdf|Finance_Vendor_Onboarding.pdf|Finance_Invoice_Processing_SOP.pdf,True,True,True,"Based on Finance_Expenses_Policy.pdf, Expenses & Reimbursement Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines what business expenses are reimbursable and how to sub",False,True,Correct
3,How long do employees have to submit expenses?,Finance_Expenses_Policy,Exact,False,True,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf|Finance_Invoice_Processing_SOP.pdf|Finance_Vendor_Onboarding.pdf|HR_Leave_and_Absence_Policy.pdf|Finance_Approval_Matrix.pdf,True,True,True,"Based on Finance_Expenses_Policy.pdf, Expenses & Reimbursement Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines what business expenses are reimbursable and how to sub",False,True,Correct
4,What is the default per diem amount?,Finance_Travel_Policy,Exact,False,True,Finance_Travel_Policy.pdf,Finance_Travel_Policy.pdf|Finance_Expenses_Policy.pdf|Finance_Vendor_Onboarding.pdf|Finance_Procurement_Policy.pdf|Legal_Contracting_Playbook.pdf,True,True,True,"Based on Finance_Travel_Policy.pdf, Travel Policy Internal document • Version 1.0 • 2026-02-04 1. Booking • Use the approved booking tool when available. • Book economy class for flights under 6 hours",False,True,Correct
5,How often are invoices processed?,Finance_Invoice_Processing_SOP,Exact,False,True,Finance_Invoice_Processing_SOP.pdf,Finance_Invoice_Processing_SOP.pdf|Finance_Vendor_Onboarding.pdf|Finance_Expenses_Policy.pdf|Security_Incident_Response_Playbook.pdf|Support_Triage_Playbook.pdf,True,True,True,"Based on Finance_Invoice_Processing_SOP.pdf, Invoice Processing SOP Internal document • Version 1.0 • 2026-02-04 1. Intake Invoices must be submitted to the accounts inbox with PO number when applicab",False,True,Correct
6,How long are customer contracts retained?,Legal_Data_Retention_Policy,Exact,False,True,Legal_Data_Retention_Policy.pdf,Legal_Data_Retention_Policy.pdf|HR_Contractor_Policy.pdf|IT_Device_Management_Policy.pdf|Legal_Contracting_Playbook.pdf|Finance_Vendor_Onboarding.pdf,True,True,True,"Based on Legal_Data_Retention_Policy.pdf, Data Retention Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines retention periods for key data categories. 2. Retention Peri",False,True,Correct
7,How long are security logs retained?,Legal_Data_Retention_Policy,Exact,False,True,Legal_Data_Retention_Policy.pdf,Legal_Data_Retention_Policy.pdf|Eng_Logging_and_Monitoring_Standard.pdf|IT_Device_Management_Policy.pdf|IT_Onboarding_Offboarding_Runbook.pdf|Security_Password_and_MFA_Policy.pdf,True,True,True,"Based on Legal_Data_Retention_Policy.pdf, Data Retention Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines retention periods for key data categories. 2. Retention Peri",False,True,Correct
8,How often are performance reviews conducted?,HR_Performance_Review_Guidelines,Exact,False,True,HR_Performance_Review_Guidelines.pdf,HR_Performance_Review_Guidelines.pdf|Security_Incident_Response_Playbook.pdf|Compliance_Audit_Readiness_Checklist.pdf|Security_Access_Control_Policy.pdf|Support_Triage_Playbook.pdf,True,True,True,"Based on HR_Performance_Review_Guidelines.pdf, Performance Review Guidelines Internal document • Version 1.0 • 2026-02-04 1. Cadence Reviews run twice per year. Managers must document goals, outcomes,",False,True,Correct
9,Can I work from Spain for two months?,HR_Remote_Work_Policy,Semantic,False,True,Finance_Travel_Policy.pdf,Finance_Travel_Policy.pdf|HR_Remote_Work_Policy.pdf|Finance_Expenses_Policy.pdf|HR_Leave_and_Absence_Policy.pdf|Security_Password_and_MFA_Policy.pdf,False,True,True,"Based on Finance_Travel_Policy.pdf, Travel Policy Internal document • Version 1.0 • 2026-02-04 1. Booking • Use the approved booking tool when available. • Book economy class for flights under 6 hours",False,True,Semantic Mismatch
10,Who needs to approve my overseas remote work request?,HR_Remote_Work_Policy,Semantic,False,True,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf|IT_Onboarding_Offboarding_Runbook.pdf|IT_Approved_SaaS_List.pdf|Finance_Vendor_Onboarding.pdf|Security_Password_and_MFA_Policy.pdf,True,True,True,"Based on HR_Remote_Work_Policy.pdf, HR Remote Work Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines how employees of SiftOps Labs may work remotely while maintaining ",False,True,Correct
11,How much can I spend on lunch during a work trip?,Finance_Expenses_Policy,Semantic,False,True,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf|Finance_Travel_Policy.pdf|Finance_Approval_Matrix.pdf|HR_Remote_Work_Policy.pdf|Support_Triage_Playbook.pdf,True,True,True,"Based on Finance_Expenses_Policy.pdf, Expenses & Reimbursement Policy Internal document • Version 1.0 • 2026-02-04 1. Purpose This policy defines what business expenses are reimbursable and how to sub",False,True,Correct
12,Can my vacation request be rejected?,HR_Leave_and_Absence_Policy,Semantic,False,True,Compliance_Anti_Bribery_Policy.pdf,Compliance_Anti_Bribery_Policy.pdf|Finance_Travel_Policy.pdf|Finance_Expenses_Policy.pdf|HR_Contractor_Policy.pdf|HR_Remote_Work_Policy.pdf,False,False,True,"Based on Compliance_Anti_Bribery_Policy.pdf, AntiIBribery & Corruption Policy Internal document • Version 1.0 • 2026-02-04 1. Policy Employees must not offer, promise, give, or accept bribes. 2. Gifts",False,False,Retrieval Failure
13,What should I do before signing with a new supplier?,Finance_Vendor_Onboarding,Semantic,False,True,Finance_Procurement_Policy.pdf,Finance_Procurement_Policy.pdf|Finance_Vendor_Onboarding.pdf|Finance_Invoice_Processing_SOP.pdf|Legal_Contracting_Playbook.pdf|Compliance_Anti_Bribery_Policy.pdf,False,True,True,"Based on Finance_Procurement_Policy.pdf, Procurement Policy Internal document • Version 1.0 • 2026-02-04 1. Overview This policy describes purchasing thresholds, approvals, and vendor selection. 2. Th",False,True,Semantic Mismatch
14,How should contractors protect company information?,HR_Contractor_Policy,Semantic,False,True,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf|Security_Data_Classification_Standard.pdf|HR_Code_of_Conduct.pdf|Legal_Privacy_Notice_Internal.pdf|Legal_GDPR_Employee_Data_Guide.pdf,True,True,True,"Based on HR_Contractor_Policy.pdf, Contractor Policy Internal document • Version 1.0 • 2026-02-04 1. Scope This policy covers onboarding, access, and confidentiality expectations for contractors. 2. A",False,True,Correct
15,What happens when my contractor agreement ends?,HR_Contractor_Policy,Semantic,False,True,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf|Legal_Data_Retention_Policy.pdf|Legal_Contracting_Playbook.pdf|Finance_Vendor_Onboarding.pdf|Eng_Oncall_Handbook.pdf,True,True,True,"Based on HR_Contractor_Policy.pdf, Contractor Policy Internal document • Version 1.0 • 2026-02-04 1. Scope This policy covers onboarding, access, and confidentiality expectations for contractors. 2. A",False,True,Correct
