question_id,question,expected_document,bm25_top1,dense_top1,bm25_hit_at_1,dense_hit_at_1,bm25_hit_at_5,dense_hit_at_5,winner
1,What is the meal reimbursement limit for lunch?,Finance_Expenses_Policy,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf,True,True,True,True,Both
2,What is the meal reimbursement limit for dinner?,Finance_Expenses_Policy,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf,True,True,True,True,Both
3,How long do employees have to submit expenses?,Finance_Expenses_Policy,Finance_Expenses_Policy.pdf,Finance_Expenses_Policy.pdf,True,True,True,True,Both
4,What is the default per diem amount?,Finance_Travel_Policy,Finance_Travel_Policy.pdf,Finance_Travel_Policy.pdf,True,True,True,True,Both
5,How often are invoices processed?,Finance_Invoice_Processing_SOP,Finance_Invoice_Processing_SOP.pdf,Finance_Invoice_Processing_SOP.pdf,True,True,True,True,Both
6,How long are customer contracts retained?,Legal_Data_Retention_Policy,Legal_Data_Retention_Policy.pdf,Legal_Data_Retention_Policy.pdf,True,True,True,True,Both
7,How long are security logs retained?,Legal_Data_Retention_Policy,Eng_Logging_and_Monitoring_Standard.pdf,Legal_Data_Retention_Policy.pdf,False,True,True,True,Dense
8,How often are performance reviews conducted?,HR_Performance_Review_Guidelines,Security_Access_Control_Policy.pdf,HR_Performance_Review_Guidelines.pdf,False,True,True,True,Dense
9,Can I work from Spain for two months?,HR_Remote_Work_Policy,Legal_Data_Retention_Policy.pdf,Finance_Travel_Policy.pdf,False,False,True,True,Neither
10,Who needs to approve my overseas remote work request?,HR_Remote_Work_Policy,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf,True,True,True,True,Both
11,How much can I spend on lunch during a work trip?,Finance_Expenses_Policy,Finance_Approval_Matrix.pdf,Finance_Expenses_Policy.pdf,False,True,True,True,Dense
12,Can my vacation request be rejected?,HR_Leave_and_Absence_Policy,Finance_Expenses_Policy.pdf,Compliance_Anti_Bribery_Policy.pdf,False,False,False,False,Neither
13,What should I do before signing with a new supplier?,Finance_Vendor_Onboarding,HR_Contractor_Policy.pdf,Finance_Procurement_Policy.pdf,False,False,False,True,Neither
14,How should contractors protect company information?,HR_Contractor_Policy,HR_Code_of_Conduct.pdf,HR_Contractor_Policy.pdf,False,True,True,True,Dense
15,What happens when my contractor agreement ends?,HR_Contractor_Policy,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf,True,True,True,True,Both
16,What information must I provide for international remote work?,HR_Remote_Work_Policy,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf,True,True,True,True,Both
17,What are the MFA requirements?,Security_Password_and_MFA_Policy,Security_Password_and_MFA_Policy.pdf,Security_Password_and_MFA_Policy.pdf,True,True,True,True,Both
18,What does GDPR say about sharing employee data?,Legal_GDPR_Employee_Data_Guide,Legal_GDPR_Employee_Data_Guide.pdf,Legal_GDPR_Employee_Data_Guide.pdf,True,True,True,True,Both
19,How do I request PTO?,HR_Leave_and_Absence_Policy,HR_Leave_and_Absence_Policy.pdf,HR_Leave_and_Absence_Policy.pdf,True,True,True,True,Both
20,When is a PO number required?,Finance_Invoice_Processing_SOP,Finance_Invoice_Processing_SOP.pdf,Finance_Invoice_Processing_SOP.pdf,True,True,True,True,Both
21,What is the SLA for a P1 issue?,Support_SLAs_and_Escalation,Support_SLAs_and_Escalation.pdf,Support_SLAs_and_Escalation.pdf,True,True,True,True,Both
22,I want to spend €6000. Who must approve it?,Finance_Approval_Matrix + Finance_Procurement_Policy,Finance_Approval_Matrix.pdf,Finance_Approval_Matrix.pdf,False,False,False,False,Neither
23,Can a contractor keep system access after the contract ends?,HR_Contractor_Policy,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf,True,True,True,True,Both
24,What approvals are needed for administrative access costing €300?,Finance_Approval_Matrix,Finance_Approval_Matrix.pdf,Finance_Approval_Matrix.pdf,True,True,True,True,Both
25,Can I work abroad if I submit the request 2 days before leaving?,HR_Remote_Work_Policy,HR_Remote_Work_Policy.pdf,HR_Remote_Work_Policy.pdf,True,True,True,True,Both
26,What happens after a major incident occurs?,Security_Incident_Response_Playbook + Postmortem_Template_and_Guidelines,Security_Incident_Response_Playbook.pdf,Security_Incident_Response_Playbook.pdf,False,False,False,False,Neither
27,How do I request leave?,HR_Leave_and_Absence_Policy,HR_Leave_and_Absence_Policy.pdf,HR_Leave_and_Absence_Policy.pdf,True,True,True,True,Both
28,What access should contractors receive?,HR_Contractor_Policy,HR_Contractor_Policy.pdf,HR_Contractor_Policy.pdf,True,True,True,True,Both
29,How should employee information be handled?,Legal_GDPR_Employee_Data_Guide,Security_Data_Classification_Standard.pdf,Legal_GDPR_Employee_Data_Guide.pdf,False,True,True,True,Dense
30,What should I do when reporting concerns?,HR_Code_of_Conduct,HR_Code_of_Conduct.pdf,Security_Incident_Response_Playbook.pdf,True,False,True,True,BM25
31,What is today's weather?,REFUSE,HR_Employee_Handbook.pdf,Security_Data_Classification_Standard.pdf,False,False,False,False,Neither
32,Should I buy Tesla stock?,REFUSE,HR_Employee_Handbook.pdf,Support_Triage_Playbook.pdf,False,False,False,False,Neither
33,Who won the World Cup?,REFUSE,HR_Employee_Handbook.pdf,Compliance_Anti_Bribery_Policy.pdf,False,False,False,False,Neither
34,What is OpenAI's valuation?,REFUSE,HR_Employee_Handbook.pdf,Eng_Architecture_Overview.pdf,False,False,False,False,Neither
35,What will our revenue be next year?,REFUSE,Legal_Data_Retention_Policy.pdf,Finance_Budgeting_Playbook.pdf,False,False,False,False,Neither
